,Transcriptomics private topic 4,Transcriptomics private topic 1,Shared topic 2,Proteomics private topic 4,Transcriptomics private topic 2,none,Shared topic 1,Shared topic 9
REACTOME_IMMUNE_SYSTEM,-0.1934337143062621,0.16508167322404427,-0.45654084889321656,0.27645286627311255,-0.034416630769449084,0.3026838493911498,-0.06726338501257068,0.20988642670729338
LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN,0.19060608016532923,-0.13844652069543537,0.3782775959057429,-0.14504412636821823,-0.2570963177113809,0.5412113309286596,-0.37861422940436734,-0.506667739163742
WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA,0.10664255019568246,-0.14405043683587387,0.42838717893526873,-0.47540368593302895,-0.12327040130195567,0.6354798876710704,-0.1971734701428811,-0.35557281726084283
ZENG_GU_ICB_CONTROL_METAGENE_25_PRECICTIVE_ICB_RESPONSE,-0.4389013611706631,0.4526242528469693,-0.6054265145306162,-0.9389220352853834,0.35242445974312947,0.2793116366811126,0.5339437028678365,0.20966540449414284
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,-0.23004005932205357,0.24490854743399187,-0.9222142221736327,0.21179777049782605,0.18513300138822514,-0.20859475501765287,0.282592762750577,0.4593968439298154
REACTOME_INNATE_IMMUNE_SYSTEM,0.14163769415418997,-0.17242899594959527,0.46875041828334013,0.11479890685484419,-0.3487410538500972,0.31459723542981344,-0.5545338421323972,-0.5171949446446034
LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_SMALL_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_DN,-0.20686763280250664,0.350861568805438,-0.7577332283007445,-0.23297309237815278,0.2815486532355886,-0.15704308418485863,0.42901687805150535,0.12559216416138524
GOLDRATH_ANTIGEN_RESPONSE,0.06152700594729155,-0.21132001576825682,0.5315151430976394,0.06311556485279846,-0.1995649432376524,0.05257786149598098,-0.5702078150757725,-0.23646277217806286
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,-0.21867164662120503,0.1512510799484083,-0.7385506196550791,0.33420156863453154,0.10801495811551078,-0.05765591337748216,0.1468557515451769,0.461356385027046
REACTOME_NEUTROPHIL_DEGRANULATION,0.24824228128888134,-0.3087582537878173,0.6082408618962829,0.20918729224293534,-0.4999772364618044,0.43788601287080936,-1.013189035289228,-0.5609452196449387
CHEN_METABOLIC_SYNDROM_NETWORK,0.2659576080180746,-0.31005934281872827,0.6242861125674061,0.04588997571462775,-0.3512652432322995,0.2309996307778932,-0.9214301708802368,-0.38240661181805663
HEVNER_TELENCEPHALON_MICROGLIA,0.3723402490338611,-0.17560536658694212,-0.2344525176335155,0.4402277016568149,-0.13277406573318068,0.13128155796254787,-0.48380702477268867,-0.10079020976009635
SWEET_LUNG_CANCER_KRAS_UP,0.1783359897959952,-0.23760604523443288,0.7987793458368393,-0.176932254813636,-0.4355090031596553,0.5272030436854911,-0.8768125685740533,-1.00706271380507
BROWN_MYELOID_CELL_DEVELOPMENT_UP,0.3249874802271776,-0.3818067945700456,0.7648365866671283,0.005004227848343043,-0.5327414867740129,0.6300510258949896,-1.0621156445382098,-0.927905110827579
LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_LARGE_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_DN,-0.43387096155084837,0.4810035738073113,-1.4660219452372065,-0.10807183425131012,0.37334027120361546,-0.4142796585730289,0.6397286760686265,0.4610059335778528
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP,0.2397868959148303,0.029170307609603804,-0.5270199185977167,0.37435207566072914,0.03609901198059523,-0.261890961406871,-0.1999370212824502,0.0034121960308749594
RAMALHO_STEMNESS_DN,0.2397868959148303,0.029170307609603804,-0.5270199185977167,0.37435207566072914,0.03609901198059523,-0.261890961406871,-0.1999370212824502,0.0034121960308749594
QI_PLASMACYTOMA_UP,-0.40131660887149395,0.2805360067999777,-0.5770944039993595,0.04964507565588995,0.26235302721945036,-0.8570687129327391,0.5075685118308229,0.27467821464343845
MARKEY_RB1_ACUTE_LOF_DN,0.388475497649495,-0.5535273535892452,0.6244892033387249,0.15957105681035022,-0.40177480503413426,0.4624399986719552,-1.2949011830246293,-0.021321253234971922
BIOCARTA_THELPER_PATHWAY,-0.01795555199701223,0.03828289189303591,0.17989135451409236,-0.32058201797914443,0.051466617368972914,-0.47826767081196186,0.241920534183992,-0.13216022128814878
WP_FOCAL_ADHESION,0.15614851341608296,-0.4243618912488453,0.7122283477210055,0.06696426295833614,-0.4385701837228042,0.5212258662741437,-1.037447066252329,-0.04215139086679965
WP_FOCAL_ADHESION_PI3KAKTMTOR_SIGNALING_PATHWAY,0.15614851341608296,-0.4243618912488453,0.7122283477210055,0.06696426295833614,-0.4385701837228042,0.5212258662741437,-1.037447066252329,-0.04215139086679965
WP_INTEGRINMEDIATED_CELL_ADHESION,0.15614851341608296,-0.4243618912488453,0.7122283477210055,0.06696426295833614,-0.4385701837228042,0.5212258662741437,-1.037447066252329,-0.04215139086679965
BIOCARTA_TCYTOTOXIC_PATHWAY,-0.04998450576519326,0.09714309413661498,-0.05430855941362084,-0.15499291928163558,0.04778882989029658,-0.31000199359130115,0.19437747038587952,0.055528702981955856
ZENG_GU_ICB_CONTROL_METAGENE_8_PRECICTIVE_ICB_RESPONSE,-0.07750027865864613,0.36849805738815855,-0.671591250873026,-0.6309523670942462,0.29737876279850206,-0.3253725657086614,0.5298330060902857,0.1172620774590574
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,0.08560103197347518,-0.3953905251138568,0.7738433335611881,0.14678597636668453,-0.4654142978827741,0.34092695928636496,-0.9422928298056609,-0.19132995396570898
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.08560103197347518,-0.3953905251138568,0.7738433335611881,0.14678597636668453,-0.4654142978827741,0.34092695928636496,-0.9422928298056609,-0.19132995396570898
REACTOME_HEMOSTASIS,0.08560103197347518,-0.3953905251138568,0.7738433335611881,0.14678597636668453,-0.4654142978827741,0.34092695928636496,-0.9422928298056609,-0.19132995396570898
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,0.08560103197347518,-0.3953905251138568,0.7738433335611881,0.14678597636668453,-0.4654142978827741,0.34092695928636496,-0.9422928298056609,-0.19132995396570898
BIOCARTA_MONOCYTE_PATHWAY,0.0638454886390954,-0.3006078293173561,0.5124388739876808,0.31462661644056655,-0.33690526271313437,-0.03276621460085195,-0.5443451482432595,-0.08330935294218123
BIOCARTA_LYMPHOCYTE_PATHWAY,-0.17863830875572845,-0.13541404901067683,0.5223875816395774,0.24599961231594877,-0.2266077247318935,-0.6322099552298817,-0.28136351905402074,-0.02818408399745821
BIOCARTA_NEUTROPHIL_PATHWAY,0.20996641641969413,-0.42485947937037905,0.6591500152776566,0.2795789312050255,-0.47390768876926354,0.28263335709883125,-0.7656674158205137,-0.37961896588938027
KUMAR_TARGETS_OF_MLL_AF9_FUSION,-0.17193421899229488,0.27602697082790795,-0.23309108418444496,-0.6696881878682036,0.25997786215400986,-0.5381214303422812,0.5890232646123321,-0.03778481706266891
MARSON_BOUND_BY_FOXP3_STIMULATED,0.028839161035656275,-0.17530868366836297,0.39584647377519583,0.2855490521346352,-0.23490132331050745,-0.4895204972466362,-0.3410843501821051,-0.06275586767389962
